"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-04",,,"0.07",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-05",,,"0.15",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-06",,,"0.02",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-07",,,"0.03",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-08",,,"0.21",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-09",,,"0.53",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-10",,,"0.80",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-19",,,"0.18",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-20",,,"0.10",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-21",,,"0.02",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-01-28","    5","0.30",,
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-02-13",,,"0.04",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-02-20",,,"0.04",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-02-23",,,"0.14","0.5"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-02-27",,,"0.34","1.8"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-02-28",,,"0.01",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-03-02",,,"1.47",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-03-03",,,"0.33",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-03-04",,,"0.34",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-03-11",,,"0.22",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-03-13",,,"0.03",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2018-03-14",,,"0.70",
