STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,lat,long,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/17/2018,,,0.41,4,4,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/23/2018,,,1.25,3.5,3.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",4/7/2018,,,0.84,0.84,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/1/2018,,,0.06,0.8,0.8,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/15/2018,,,0.09,0.09,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/21/2018,,,0.61,0.61,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/22/2018,,,0.44,0.44,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/23/2018,,,0.14,0.14,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",7/13/2018,,,0.98,0.98,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",7/20/2018,,,0.2,0.2,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",7/21/2018,,,0.33,0.33,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",8/1/2018,,,2.65,2.65,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",8/12/2018,,,0.1,0.1,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",9/5/2018,,,0.2,0.2,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",10/3/2018,,,0.21,0.21,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",10/4/2018,,,0.06,0.06,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",10/7/2018,,,0.07,0.07,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",11/22/2018,,,0.4,4,4,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",11/28/2018,,,0.16,0.16,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",11/29/2018,,,0.41,3.5,3.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/1/2018,,,0.21,2.5,5.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/5/2018,,,0.15,1.5,4.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/6/2018,,,0.1,1,5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",1/6/2019,,,0.45,5,7,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",1/10/2019,,,0.12,1.2,5.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",1/15/2019,,,0.05,0.5,4.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",1/16/2019,,,2.5,2.5,10,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",1/21/2019,,,,10,16,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",2/2/2019,,,0.2,2,15,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",2/4/2019,,,0.45,4,24,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",2/5/2019,,,0.65,8,32,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",2/9/2019,,,0.35,3.5,32,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",2/11/2019,,,0.4,5,36,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",2/13/2019,,,0.6,4.5,36,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",2/15/2019,,,0.27,3,33,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",2/27/2019,,,0.1,1,33,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/3/2019,,,0.95,3,26,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/6/2019,,,1.45,7.3,34,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/20/2019,,,1.1,0.5,25,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",4/2/2019,,,0.01,0.01,18,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",4/3/2019,,,0.09,0.09,15,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/10/2019,,,0.4,0.4,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/16/2019,,,0.38,0,0,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/17/2019,,,0.1,0.1,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/23/2019,,,0.46,0.46,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/24/2019,,,0.35,0.35,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",6/1/2019,,,0.08,0.08,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",6/3/2019,,,0.1,0.1,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",7/26/2019,,,0.2,0.2,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",8/8/2019,,,0.2,0.2,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",9/5/2019,,,0.12,0.12,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",9/6/2019,,,0.05,0.05,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",11/21/2019,,,0.18,2,2,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",11/27/2019,,,0.5,6,6,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/1/2019,,,0.2,2,8,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/2/2019,,,0.65,1.6,9,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/5/2019,,,0.25,1,8,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/8/2019,,,0.6,7.5,14,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/23/2019,,,0.3,3,6,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/24/2019,,,0.1,1,8,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/26/2019,,,0.35,5,11,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",1/17/2020,,,0.5,5,7.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",1/27/2020,,,0.04,0.04,3,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/11/2020,,,0.12,0.12,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/17/2020,,,1,7.5,7.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/23/2020,,,0.06,0.5,4,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/27/2020,,,0.05,1,3.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",4/6/2020,,,1,1,1,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",4/7/2020,,,0.18,1,1,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",4/8/2020,,,0.04,0.5,0.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",4/9/2020,,,0.2,1.5,1.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",4/18/2020,,,0.5,0,0,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/19/2020,,,0.02,0.2,0.2,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",6/6/2020,,,0.03,0.03,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",6/26/2020,,,0.3,0.3,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",7/22/2020,,,0.03,0.03,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",8/12/2020,,,0.01,0.01,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",8/17/2020,,,0.36,0.36,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",8/19/2020,,,0.04,0.04,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",11/8/2020,,,0.1,1,1,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",11/18/2020,,,0.15,1,1,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/14/2020,,,0.25,3.5,3.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/17/2020,,,0.23,3.5,6,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/18/2020,,,0.12,1.5,6.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",12/28/2020,,,0.45,5,6,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",1/27/2021,,,0.4,8,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",1/29/2021,2,2,0,0,23,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",2/12/2021,,,0.64,7.5,11,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/12/2021,,,0.1,1.5,1.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",3/20/2021,,,0.14,0.5,0.5,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/17/2021,,,0.01,0.01,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/21/2021,,,0.02,0.2,0.2,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",5/22/2021,,,0.04,0.4,0.4,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",6/5/2021,,,0.16,0.16,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",6/29/2021,,,0.08,0.08,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",6/30/2021,,,0.05,0.05,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",7/1/2021,,,0.4,0.4,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",7/10/2021,,,0.11,0.11,,37.6198538,-118.9829602,,,,,
US1CAMN0005,"MAMMOTH LAKES 16.3 ESE, CA US",7/11/2021,,,0.03,0.03,,37.6198538,-118.9829602,,,,,
