STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,lat,long,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/4/2018,,,0.07,0.07,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/5/2018,,,0.15,0.15,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/6/2018,,,0.02,0.02,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/7/2018,,,0.03,0.03,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/8/2018,,,0.21,0.21,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/9/2018,,,0.53,0.53,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/10/2018,,,0.8,0.8,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/19/2018,,,0.18,0.18,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/20/2018,,,0.1,0.1,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/21/2018,,,0.02,0.02,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/28/2018,5,0.3,0,0,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",2/13/2018,,,0.04,0.04,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",2/20/2018,,,0.04,0.04,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",2/23/2018,,,0.14,0.5,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",2/27/2018,,,0.34,1.8,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",2/28/2018,,,0.01,0.01,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/2/2018,,,1.47,1.47,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/3/2018,,,0.33,0.33,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/4/2018,,,0.34,0.34,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/11/2018,,,0.22,0.22,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/13/2018,,,0.03,0.03,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/14/2018,,,0.7,0.7,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/16/2018,2,0.35,0,0,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/17/2018,,,0.6,0.6,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/18/2018,,,0.61,0.61,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/21/2018,,,0.59,0.59,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/22/2018,,,1.64,1.64,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/23/2018,,,1.96,1.96,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",3/24/2018,,,0.04,0.04,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",4/7/2018,,,0.17,0.17,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",4/8/2018,,,1.39,1.39,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",4/12/2018,,,0.21,0.21,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",4/16/2018,,,0.01,0.01,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",4/17/2018,,,0.65,0.65,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",6/8/2018,18,0.12,0,0,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",10/2/2018,,,0.02,0.02,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",10/3/2018,,,0.02,0.02,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",10/4/2018,,,1,1,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",11/22/2018,,,0.32,0.32,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",11/23/2018,,,0.03,0.03,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",11/24/2018,,,0.06,0.06,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",11/25/2018,,,0.23,0.23,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",11/28/2018,,,0.07,0.07,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",11/29/2018,,,1.66,1.66,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",11/30/2018,,,1.22,1.22,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/1/2018,,,0.04,0.04,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/2/2018,,,0.19,0.19,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/5/2018,,,0.02,0.02,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/6/2018,,,0.05,0.05,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/7/2018,,,0.04,0.04,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/17/2018,,,0.09,0.09,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/18/2018,,,0.06,0.06,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",12/25/2018,,,0.42,0.42,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/6/2019,,,0.57,0.57,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/7/2019,,,0.62,0.62,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/9/2019,,,0.02,0.02,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/10/2019,,,0.48,0.48,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/15/2019,,,0.05,0.05,39.1969822,-120.2431388,,,,,
US1CAFR0022,"SQUAW VALLEY 3.1 ESE, CA US",1/16/2019,,,0.15,0.15,39.1969822,-120.2431388,,,,,
