"STATION","NAME","DATE","PRCP","SNWD"
"USS0011J42S","SNOWBIRD, UT US","2018-01-01","0.00","25.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-02","0.00","23.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-03","0.00","23.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-04","0.00","23.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-05","0.00","23.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-06","0.50","27.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-07","0.00","27.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-08","0.00","26.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-09","1.00","31.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-10","1.00","36.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-11","0.20","36.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-12","0.00","36.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-13","0.00","35.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-14","0.00","34.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-15","0.00","34.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-16","0.00","34.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-17","0.00","33.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-18","0.00","32.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-19","0.30","34.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-20","0.60","40.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-21","0.20","42.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-22","0.00","42.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-23","0.00","39.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-24","0.00","39.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-25","0.40","41.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-26","0.50","44.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-27","0.00","42.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-28","0.00","41.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-29","0.00","40.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-30","0.00","39.0"
"USS0011J42S","SNOWBIRD, UT US","2018-01-31","0.00","39.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-01","0.00","38.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-02","0.00","37.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-03","0.00","37.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-04","0.00","38.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-05","0.30","40.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-06","0.20","41.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-07","0.00","40.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-08","0.00","40.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-09","0.00","39.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-10","0.40","42.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-11","0.00","40.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-12","0.30","43.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-13","0.00","42.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-14","0.20","46.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-15","0.50","51.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-16","0.00","47.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-17","0.00","45.0"
"USS0011J42S","SNOWBIRD, UT US","2018-02-18","0.60","53.0"
